-9	267	349
5	348	282
-17	373	255
-48	369	257
-28	385	246
-33	488	-12
109	455	-222
172	397	-313
194	347	-369
191	384	-320
205	350	-368
210	375	-330
172	264	-462
134	245	-486
114	220	-506
70	174	-535
61	107	-565
58	6	-593
56	-6	-594
38	35	-586
23	69	-573
0	136	-546
-35	124	-548
-70	39	-571
-101	-61	-582
-137	-163	-575
-54	-206	-591
-78	-265	-575
-67	-259	-580
-33	-264	-587
-27	-258	-589
-33	-258	-588
-42	-285	-583
-48	-305	-575
-60	-308	-572
-83	-279	-578
-175	-219	-558
-210	-183	-546
-255	-98	-527
-301	-46	-490
-322	-52	-476
-347	-34	-454
-360	-54	-443
-368	-75	-432
-363	-14	-424
-300	21	-464
-305	42	-452
-310	72	-439
-282	75	-460
-234	-18	-514
-202	-32	-535
-177	-65	-553
-150	-80	-565
-126	-88	-574
-60	-103	-592
-45	-108	-594
-36	-109	-595
-23	-113	-599
-11	-102	-600
-12	-76	-597
-63	-67	-588
-95	-77	-583
-126	-66	-572
-272	-86	-508
-269	-132	-511
-274	-160	-505
-264	-184	-509
-254	-156	-519
-196	-88	-548
-154	-19	-554
-153	-85	-564
-192	-121	-550
-217	-159	-536
-206	-69	-543
-207	-51	-540
-186	40	-532
-79	113	-543
-10	109	-555
59	92	-563
104	91	-559
156	68	-559
158	96	-550
123	128	-539
102	132	-542
61	106	-553
68	97	-555
64	101	-557
64	118	-550
-57	144	-529
-222	28	-517
-258	-83	-515
-165	-321	-520
-105	-358	-529
-71	-375	-531
-43	-375	-534
-19	-348	-550
20	-348	-553
58	-356	-551
97	-309	-565
125	-281	-571
144	-25	-574
193	-99	-574
